number,date,description,location,price,status,notes,parts
93,9/25/2023,Build shelter on garage for cars,71-57,$250.00,Paid,,
94,10/6/2023,"Install new dryer for 3B 
Fix cabinet hinges for 2A",71-57,$150.00,Paid,,
95,10/18/2023,Lobby thermostat guards,71-57,$25.00,Paid,,
96,10/21/2023,APT 5B- Dishwasher Swap,71-57,$150.00,Paid,,
97,10/29/2023,Apt 601 & 501,25 Orchard,"$7,600.00",Paid,,
98,11/28/2023,Replace 3p60 amp break materials & labor,90 Ludlow,$320.00,Paid,,
99,12/1/2023,Replace water heater for Apt 601 & 502,25 Orchard,"$2,800.00",Paid,,
100,12/4/2023,Apt 1A- Dryer drum belt replacement,71-57,$120.00,Paid,,
101,1/1/2024,"Renovations for Apt 302, 303, 502",25 Orchard,"$5,600.00",Paid,"Paid by check 10370 $2,600
Paid by check $3,000",
102,1/26/2024,Dryer fix Apt 4A & 5A,71-57,$200.00,Paid,"Paid by check 283 $200
$58.50 from Dec was for extra deposit
Extra $100 sorted out already in Nov",
103,1/29/2024,Apt 1B- Water heater replacement,71-57,"$1,200.00",Paid,,
104,1/1/2024,Renovate Apt 202,25 Orchard,"$4,800.00",Paid,"Paid by check 10375 $3,000",
105,3/1/2024,Renovate Apt 301,301 Orchard,"$4,000.00",Paid,"Paid by check 10402 $4,000",
106,4/1/2024,Building water booster pump repair,25 Orchard,$350.00,Paid,Paid by check 309 $520; leftover $170 go to invoice 92,
107,4/1/2024,Apt 302 renovation,25 Orchard,"$3,700.00",Paid,"Paid by check 10405 $3,700",
108,5/9/2024,APT 2B- Water heater replacement,71-57,"$1,300.00",Paid,"Paid by check 305 $1,300",
109,6/23/2024,Apt 6A- A/C Exchange,71-57,$250.00,Paid,Paid by check 308 $450,
110,6/1/2024,Apt 602 renovation,25 Orchard,"$19,692.00",Paid,"$2008.50 Paid by January rent
$2008.50 Paid by February rent 
$2008.50 Paid by May rent
$2008.50 Paid by June rent
$2008.50 Paid by July rent
$2008.50 Paid by Aug rent
$2008.50 Paid by Sep rent
$2008.50 Paid by Oct rent
$2008.50 Paid by Nov rent
$2008.50 Paid by Dec rent
$1670 Paid by cash on xmas Dec 2024
$2008.50 paid by Jan '25 rent
$170 paid by check 309",
111,7/2/2024,Apt 1A- A/C Unit,71-57,$200.00,Paid,Paid by check 308,
112,7/10/2024,Apt 3B A/C Water Leak Fix,71-57,$50.00,Paid,Paid by check 314 $520,
113,7/13/2024,Apt 4A A/C Unit Swap out due to compression failures,71-57,$200.00,Paid,Paid by check 314,
114,7/16/2024,Apt 4A Washer Swap Out,71-57,$100.00,Paid,Paid by check 314,
115,7/17/2024,Apt 3B Fix Kitchen Sink Waste Line,71-57,$120.00,Paid,Paid by check 314,
116,7/26/2024,Apt 2A Toilet Seat Replacement,71-57,$50.00,Paid,Paid by check 314,
